"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","604","validate the page title","","Tue Dec 31 23:28:54 GMT 2024","failed","Tue Dec 31 23:28:54 GMT 2024","Home Page","","",""
"","1751","@UI Locator","","Tue Dec 31 23:28:52 GMT 2024","passed","Tue Dec 31 23:28:54 GMT 2024","","","",""
"","840","validation of screen shot","","Tue Dec 31 23:28:56 GMT 2024","failed","Tue Dec 31 23:28:56 GMT 2024","Demo page","","",""
"","836","Different types of locator","","Tue Dec 31 23:28:48 GMT 2024","failed","Tue Dec 31 23:28:49 GMT 2024","","","",""
"","1141","get started link","","Tue Dec 31 23:28:51 GMT 2024","passed","Tue Dec 31 23:28:52 GMT 2024","","","",""
"","1","should admin radio button is present","","Tue Dec 31 23:28:54 GMT 2024","skipped","Tue Dec 31 23:28:54 GMT 2024","Home Page","","",""
"","0","validate the free link is visible or not","","Tue Dec 31 23:28:54 GMT 2024","skipped","Tue Dec 31 23:28:54 GMT 2024","Home Page","","",""
"","930","Child window handling","","Tue Dec 31 23:28:47 GMT 2024","failed","Tue Dec 31 23:28:48 GMT 2024","","","",""
"","842","@web Error validation","","Tue Dec 31 23:28:49 GMT 2024","failed","Tue Dec 31 23:28:50 GMT 2024","","","",""
"","845","validation","","Tue Dec 31 23:28:54 GMT 2024","failed","Tue Dec 31 23:28:55 GMT 2024","Demo page","","",""
