"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 29 23:29:40 GMT 2024","Thu Aug 29 23:29:41 GMT 2024","889","","","Demo page","","","validation of screen shot",""
"skipped","Thu Aug 29 23:29:39 GMT 2024","Thu Aug 29 23:29:39 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"skipped","Thu Aug 29 23:29:39 GMT 2024","Thu Aug 29 23:29:39 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"passed","Thu Aug 29 23:29:34 GMT 2024","Thu Aug 29 23:29:38 GMT 2024","3769","","","","","","@UI Locator",""
"passed","Thu Aug 29 23:29:33 GMT 2024","Thu Aug 29 23:29:34 GMT 2024","1212","","","","","","get started link",""
"failed","Thu Aug 29 23:29:39 GMT 2024","Thu Aug 29 23:29:40 GMT 2024","899","","","Demo page","","","validation",""
"failed","Thu Aug 29 23:29:31 GMT 2024","Thu Aug 29 23:29:32 GMT 2024","913","","","","","","Different types of locator",""
"failed","Thu Aug 29 23:29:38 GMT 2024","Thu Aug 29 23:29:39 GMT 2024","682","","","Home Page","","","validate the page title",""
"failed","Thu Aug 29 23:29:32 GMT 2024","Thu Aug 29 23:29:33 GMT 2024","907","","","","","","@web Error validation",""
"failed","Thu Aug 29 23:29:27 GMT 2024","Thu Aug 29 23:29:30 GMT 2024","3010","","","","","","Child window handling",""
