"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 12 23:30:33 GMT 2024","Thu Sep 12 23:30:33 GMT 2024","928","","","","","","Different types of locator",""
"passed","Thu Sep 12 23:30:35 GMT 2024","Thu Sep 12 23:30:36 GMT 2024","1120","","","","","","get started link",""
"skipped","Thu Sep 12 23:30:41 GMT 2024","Thu Sep 12 23:30:41 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Thu Sep 12 23:30:34 GMT 2024","Thu Sep 12 23:30:35 GMT 2024","926","","","","","","@web Error validation",""
"passed","Thu Sep 12 23:30:36 GMT 2024","Thu Sep 12 23:30:40 GMT 2024","3883","","","","","","@UI Locator",""
"failed","Thu Sep 12 23:30:31 GMT 2024","Thu Sep 12 23:30:32 GMT 2024","1470","","","","","","Child window handling",""
"failed","Thu Sep 12 23:30:41 GMT 2024","Thu Sep 12 23:30:42 GMT 2024","931","","","Demo page","","","validation",""
"skipped","Thu Sep 12 23:30:41 GMT 2024","Thu Sep 12 23:30:41 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"failed","Thu Sep 12 23:30:42 GMT 2024","Thu Sep 12 23:30:43 GMT 2024","921","","","Demo page","","","validation of screen shot",""
"failed","Thu Sep 12 23:30:40 GMT 2024","Thu Sep 12 23:30:41 GMT 2024","657","","","Home Page","","","validate the page title",""
