"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 23:28:27 GMT 2024","Wed Jul 24 23:28:31 GMT 2024","3842","","","","","","@UI Locator",""
"skipped","Wed Jul 24 23:28:32 GMT 2024","Wed Jul 24 23:28:32 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Wed Jul 24 23:28:33 GMT 2024","Wed Jul 24 23:28:34 GMT 2024","904","","","Demo page","","","validation of screen shot",""
"failed","Wed Jul 24 23:28:32 GMT 2024","Wed Jul 24 23:28:33 GMT 2024","914","","","Demo page","","","validation",""
"passed","Wed Jul 24 23:28:26 GMT 2024","Wed Jul 24 23:28:27 GMT 2024","1109","","","","","","get started link",""
"failed","Wed Jul 24 23:28:24 GMT 2024","Wed Jul 24 23:28:25 GMT 2024","905","","","","","","Different types of locator",""
"failed","Wed Jul 24 23:28:31 GMT 2024","Wed Jul 24 23:28:32 GMT 2024","660","","","Home Page","","","validate the page title",""
"failed","Wed Jul 24 23:28:25 GMT 2024","Wed Jul 24 23:28:26 GMT 2024","895","","","","","","@web Error validation",""
"skipped","Wed Jul 24 23:28:32 GMT 2024","Wed Jul 24 23:28:32 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Wed Jul 24 23:28:22 GMT 2024","Wed Jul 24 23:28:24 GMT 2024","1939","","","","","","Child window handling",""
