"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","823","validation of screen shot","","Sun Dec 22 23:29:33 GMT 2024","failed","Sun Dec 22 23:29:33 GMT 2024","Demo page","","",""
"","1","validate the free link is visible or not","","Sun Dec 22 23:29:31 GMT 2024","skipped","Sun Dec 22 23:29:31 GMT 2024","Home Page","","",""
"","840","validation","","Sun Dec 22 23:29:31 GMT 2024","failed","Sun Dec 22 23:29:32 GMT 2024","Demo page","","",""
"","619","validate the page title","","Sun Dec 22 23:29:30 GMT 2024","failed","Sun Dec 22 23:29:31 GMT 2024","Home Page","","",""
"","844","Different types of locator","","Sun Dec 22 23:29:25 GMT 2024","failed","Sun Dec 22 23:29:26 GMT 2024","","","",""
"","887","Child window handling","","Sun Dec 22 23:29:24 GMT 2024","failed","Sun Dec 22 23:29:25 GMT 2024","","","",""
"","1581","@UI Locator","","Sun Dec 22 23:29:29 GMT 2024","passed","Sun Dec 22 23:29:30 GMT 2024","","","",""
"","813","@web Error validation","","Sun Dec 22 23:29:27 GMT 2024","failed","Sun Dec 22 23:29:27 GMT 2024","","","",""
"","0","should admin radio button is present","","Sun Dec 22 23:29:31 GMT 2024","skipped","Sun Dec 22 23:29:31 GMT 2024","Home Page","","",""
"","1126","get started link","","Sun Dec 22 23:29:28 GMT 2024","passed","Sun Dec 22 23:29:29 GMT 2024","","","",""
