"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 08 23:28:37 GMT 2024","Thu Aug 08 23:28:37 GMT 2024","651","","","Home Page","","","validate the page title",""
"failed","Thu Aug 08 23:28:38 GMT 2024","Thu Aug 08 23:28:38 GMT 2024","909","","","Demo page","","","validation",""
"skipped","Thu Aug 08 23:28:37 GMT 2024","Thu Aug 08 23:28:37 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"passed","Thu Aug 08 23:28:31 GMT 2024","Thu Aug 08 23:28:32 GMT 2024","1303","","","","","","get started link",""
"skipped","Thu Aug 08 23:28:37 GMT 2024","Thu Aug 08 23:28:37 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"passed","Thu Aug 08 23:28:32 GMT 2024","Thu Aug 08 23:28:37 GMT 2024","4525","","","","","","@UI Locator",""
"failed","Thu Aug 08 23:28:28 GMT 2024","Thu Aug 08 23:28:29 GMT 2024","893","","","","","","Different types of locator",""
"failed","Thu Aug 08 23:28:26 GMT 2024","Thu Aug 08 23:28:28 GMT 2024","1952","","","","","","Child window handling",""
"failed","Thu Aug 08 23:28:29 GMT 2024","Thu Aug 08 23:28:30 GMT 2024","900","","","","","","@web Error validation",""
"failed","Thu Aug 08 23:28:39 GMT 2024","Thu Aug 08 23:28:40 GMT 2024","883","","","Demo page","","","validation of screen shot",""
