"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 26 23:28:33 GMT 2024","Wed Jun 26 23:28:33 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"passed","Wed Jun 26 23:28:29 GMT 2024","Wed Jun 26 23:28:30 GMT 2024","1143","","","","","","get started link",""
"failed","Wed Jun 26 23:28:26 GMT 2024","Wed Jun 26 23:28:27 GMT 2024","886","","","","","","Different types of locator",""
"skipped","Wed Jun 26 23:28:33 GMT 2024","Wed Jun 26 23:28:33 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"passed","Wed Jun 26 23:28:30 GMT 2024","Wed Jun 26 23:28:33 GMT 2024","3134","","","","","","@UI Locator",""
"failed","Wed Jun 26 23:28:24 GMT 2024","Wed Jun 26 23:28:26 GMT 2024","1787","","","","","","Child window handling",""
"failed","Wed Jun 26 23:28:34 GMT 2024","Wed Jun 26 23:28:35 GMT 2024","895","","","Demo page","","","validation",""
"failed","Wed Jun 26 23:28:35 GMT 2024","Wed Jun 26 23:28:36 GMT 2024","884","","","Demo page","","","validation of screen shot",""
"failed","Wed Jun 26 23:28:33 GMT 2024","Wed Jun 26 23:28:33 GMT 2024","647","","","Home Page","","","validate the page title",""
"failed","Wed Jun 26 23:28:27 GMT 2024","Wed Jun 26 23:28:28 GMT 2024","894","","","","","","@web Error validation",""
