"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 22 23:28:27 GMT 2024","Thu Aug 22 23:28:27 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"failed","Thu Aug 22 23:28:29 GMT 2024","Thu Aug 22 23:28:30 GMT 2024","842","","","Demo page","","","validation of screen shot",""
"failed","Thu Aug 22 23:28:28 GMT 2024","Thu Aug 22 23:28:28 GMT 2024","842","","","Demo page","","","validation",""
"failed","Thu Aug 22 23:28:19 GMT 2024","Thu Aug 22 23:28:20 GMT 2024","941","","","","","","Child window handling",""
"failed","Thu Aug 22 23:28:21 GMT 2024","Thu Aug 22 23:28:22 GMT 2024","838","","","","","","@web Error validation",""
"skipped","Thu Aug 22 23:28:27 GMT 2024","Thu Aug 22 23:28:27 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Thu Aug 22 23:28:20 GMT 2024","Thu Aug 22 23:28:21 GMT 2024","838","","","","","","Different types of locator",""
"failed","Thu Aug 22 23:28:27 GMT 2024","Thu Aug 22 23:28:27 GMT 2024","595","","","Home Page","","","validate the page title",""
"passed","Thu Aug 22 23:28:24 GMT 2024","Thu Aug 22 23:28:27 GMT 2024","2936","","","","","","@UI Locator",""
"passed","Thu Aug 22 23:28:23 GMT 2024","Thu Aug 22 23:28:24 GMT 2024","1137","","","","","","get started link",""
