"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 11 23:29:33 GMT 2024","Fri Oct 11 23:29:33 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Fri Oct 11 23:29:27 GMT 2024","Fri Oct 11 23:29:28 GMT 2024","846","","","","","","Different types of locator",""
"failed","Fri Oct 11 23:29:33 GMT 2024","Fri Oct 11 23:29:34 GMT 2024","838","","","Demo page","","","validation",""
"failed","Fri Oct 11 23:29:26 GMT 2024","Fri Oct 11 23:29:27 GMT 2024","1017","","","","","","Child window handling",""
"failed","Fri Oct 11 23:29:34 GMT 2024","Fri Oct 11 23:29:35 GMT 2024","848","","","Demo page","","","validation of screen shot",""
"failed","Fri Oct 11 23:29:28 GMT 2024","Fri Oct 11 23:29:29 GMT 2024","848","","","","","","@web Error validation",""
"skipped","Fri Oct 11 23:29:33 GMT 2024","Fri Oct 11 23:29:33 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"passed","Fri Oct 11 23:29:29 GMT 2024","Fri Oct 11 23:29:30 GMT 2024","1183","","","","","","get started link",""
"failed","Fri Oct 11 23:29:32 GMT 2024","Fri Oct 11 23:29:33 GMT 2024","593","","","Home Page","","","validate the page title",""
"passed","Fri Oct 11 23:29:30 GMT 2024","Fri Oct 11 23:29:32 GMT 2024","1611","","","","","","@UI Locator",""
