"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 23:28:27 GMT 2024","Thu Jun 20 23:28:30 GMT 2024","3126","","","","","","@UI Locator",""
"passed","Thu Jun 20 23:28:26 GMT 2024","Thu Jun 20 23:28:27 GMT 2024","1073","","","","","","get started link",""
"failed","Thu Jun 20 23:28:21 GMT 2024","Thu Jun 20 23:28:23 GMT 2024","2221","","","","","","Child window handling",""
"failed","Thu Jun 20 23:28:25 GMT 2024","Thu Jun 20 23:28:26 GMT 2024","909","","","","","","@web Error validation",""
"failed","Thu Jun 20 23:28:24 GMT 2024","Thu Jun 20 23:28:25 GMT 2024","885","","","","","","Different types of locator",""
"failed","Thu Jun 20 23:28:30 GMT 2024","Thu Jun 20 23:28:31 GMT 2024","646","","","Home Page","","","validate the page title",""
"skipped","Thu Jun 20 23:28:31 GMT 2024","Thu Jun 20 23:28:31 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Thu Jun 20 23:28:33 GMT 2024","Thu Jun 20 23:28:33 GMT 2024","882","","","Demo page","","","validation of screen shot",""
"skipped","Thu Jun 20 23:28:31 GMT 2024","Thu Jun 20 23:28:31 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Thu Jun 20 23:28:31 GMT 2024","Thu Jun 20 23:28:32 GMT 2024","868","","","Demo page","","","validation",""
