"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","618","validate the page title","","Tue Dec 03 23:31:58 GMT 2024","failed","Tue Dec 03 23:31:59 GMT 2024","Home Page","","",""
"","959","Child window handling","","Tue Dec 03 23:31:52 GMT 2024","failed","Tue Dec 03 23:31:53 GMT 2024","","","",""
"","0","validate the free link is visible or not","","Tue Dec 03 23:31:59 GMT 2024","skipped","Tue Dec 03 23:31:59 GMT 2024","Home Page","","",""
"","809","@web Error validation","","Tue Dec 03 23:31:54 GMT 2024","failed","Tue Dec 03 23:31:55 GMT 2024","","","",""
"","837","validation","","Tue Dec 03 23:31:59 GMT 2024","failed","Tue Dec 03 23:32:00 GMT 2024","Demo page","","",""
"","821","validation of screen shot","","Tue Dec 03 23:32:00 GMT 2024","failed","Tue Dec 03 23:32:01 GMT 2024","Demo page","","",""
"","1","should admin radio button is present","","Tue Dec 03 23:31:59 GMT 2024","skipped","Tue Dec 03 23:31:59 GMT 2024","Home Page","","",""
"","1154","get started link","","Tue Dec 03 23:31:55 GMT 2024","passed","Tue Dec 03 23:31:56 GMT 2024","","","",""
"","833","Different types of locator","","Tue Dec 03 23:31:53 GMT 2024","failed","Tue Dec 03 23:31:54 GMT 2024","","","",""
"","1676","@UI Locator","","Tue Dec 03 23:31:56 GMT 2024","passed","Tue Dec 03 23:31:58 GMT 2024","","","",""
