"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","902","Different types of locator","","Wed Feb 05 23:29:25 GMT 2025","failed","Wed Feb 05 23:29:26 GMT 2025","","","",""
"","886","@web Error validation","","Wed Feb 05 23:29:26 GMT 2025","failed","Wed Feb 05 23:29:27 GMT 2025","","","",""
"","901","validation of screen shot","","Wed Feb 05 23:29:32 GMT 2025","failed","Wed Feb 05 23:29:33 GMT 2025","Demo page","","",""
"","1","should admin radio button is present","","Wed Feb 05 23:29:31 GMT 2025","skipped","Wed Feb 05 23:29:31 GMT 2025","Home Page","","",""
"","1113","get started link","","Wed Feb 05 23:29:27 GMT 2025","passed","Wed Feb 05 23:29:28 GMT 2025","","","",""
"","1694","@UI Locator","","Wed Feb 05 23:29:28 GMT 2025","passed","Wed Feb 05 23:29:30 GMT 2025","","","",""
"","903","validation","","Wed Feb 05 23:29:31 GMT 2025","failed","Wed Feb 05 23:29:32 GMT 2025","Demo page","","",""
"","657","validate the page title","","Wed Feb 05 23:29:30 GMT 2025","failed","Wed Feb 05 23:29:31 GMT 2025","Home Page","","",""
"","1103","Child window handling","","Wed Feb 05 23:29:23 GMT 2025","failed","Wed Feb 05 23:29:24 GMT 2025","","","",""
"","0","validate the free link is visible or not","","Wed Feb 05 23:29:31 GMT 2025","skipped","Wed Feb 05 23:29:31 GMT 2025","Home Page","","",""
