"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1033","get started link","","Sun Jan 19 23:27:52 GMT 2025","passed","Sun Jan 19 23:27:53 GMT 2025","","","",""
"","927","Child window handling","","Sun Jan 19 23:27:49 GMT 2025","failed","Sun Jan 19 23:27:50 GMT 2025","","","",""
"","609","validate the page title","","Sun Jan 19 23:27:55 GMT 2025","failed","Sun Jan 19 23:27:56 GMT 2025","Home Page","","",""
"","1793","@UI Locator","","Sun Jan 19 23:27:53 GMT 2025","passed","Sun Jan 19 23:27:55 GMT 2025","","","",""
"","837","Different types of locator","","Sun Jan 19 23:27:50 GMT 2025","failed","Sun Jan 19 23:27:51 GMT 2025","","","",""
"","840","@web Error validation","","Sun Jan 19 23:27:51 GMT 2025","failed","Sun Jan 19 23:27:52 GMT 2025","","","",""
"","0","should admin radio button is present","","Sun Jan 19 23:27:56 GMT 2025","skipped","Sun Jan 19 23:27:56 GMT 2025","Home Page","","",""
"","831","validation","","Sun Jan 19 23:27:56 GMT 2025","failed","Sun Jan 19 23:27:57 GMT 2025","Demo page","","",""
"","833","validation of screen shot","","Sun Jan 19 23:27:57 GMT 2025","failed","Sun Jan 19 23:27:58 GMT 2025","Demo page","","",""
"","1","validate the free link is visible or not","","Sun Jan 19 23:27:56 GMT 2025","skipped","Sun Jan 19 23:27:56 GMT 2025","Home Page","","",""
