"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","908","validation of screen shot","","Sat Feb 15 23:28:13 GMT 2025","failed","Sat Feb 15 23:28:14 GMT 2025","Demo page","","",""
"","915","validation","","Sat Feb 15 23:28:12 GMT 2025","failed","Sat Feb 15 23:28:12 GMT 2025","Demo page","","",""
"","918","Different types of locator","","Sat Feb 15 23:28:04 GMT 2025","failed","Sat Feb 15 23:28:05 GMT 2025","","","",""
"","0","should admin radio button is present","","Sat Feb 15 23:28:11 GMT 2025","skipped","Sat Feb 15 23:28:11 GMT 2025","Home Page","","",""
"","1","validate the free link is visible or not","","Sat Feb 15 23:28:11 GMT 2025","skipped","Sat Feb 15 23:28:11 GMT 2025","Home Page","","",""
"","2841","@UI Locator","","Sat Feb 15 23:28:08 GMT 2025","passed","Sat Feb 15 23:28:11 GMT 2025","","","",""
"","1229","Child window handling","","Sat Feb 15 23:28:02 GMT 2025","failed","Sat Feb 15 23:28:04 GMT 2025","","","",""
"","910","@web Error validation","","Sat Feb 15 23:28:05 GMT 2025","failed","Sat Feb 15 23:28:06 GMT 2025","","","",""
"","657","validate the page title","","Sat Feb 15 23:28:11 GMT 2025","failed","Sat Feb 15 23:28:11 GMT 2025","Home Page","","",""
"","1274","get started link","","Sat Feb 15 23:28:06 GMT 2025","passed","Sat Feb 15 23:28:08 GMT 2025","","","",""
