"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 06 23:31:03 GMT 2024","Sun Oct 06 23:31:03 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Sun Oct 06 23:30:56 GMT 2024","Sun Oct 06 23:31:02 GMT 2024","5564","","","","","","@UI Locator",""
"failed","Sun Oct 06 23:31:03 GMT 2024","Sun Oct 06 23:31:04 GMT 2024","859","","","Demo page","","","validation",""
"failed","Sun Oct 06 23:30:53 GMT 2024","Sun Oct 06 23:30:54 GMT 2024","839","","","","","","Different types of locator",""
"passed","Sun Oct 06 23:30:55 GMT 2024","Sun Oct 06 23:30:56 GMT 2024","1209","","","","","","get started link",""
"failed","Sun Oct 06 23:30:52 GMT 2024","Sun Oct 06 23:30:53 GMT 2024","1028","","","","","","Child window handling",""
"skipped","Sun Oct 06 23:31:03 GMT 2024","Sun Oct 06 23:31:03 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Sun Oct 06 23:31:05 GMT 2024","Sun Oct 06 23:31:06 GMT 2024","853","","","Demo page","","","validation of screen shot",""
"failed","Sun Oct 06 23:30:54 GMT 2024","Sun Oct 06 23:30:55 GMT 2024","843","","","","","","@web Error validation",""
"failed","Sun Oct 06 23:31:02 GMT 2024","Sun Oct 06 23:31:03 GMT 2024","809","","","Home Page","","","validate the page title",""
