"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 23:27:10 GMT 2024","Wed Jan 10 23:27:11 GMT 2024","786","","","Home Page","","","should admin radio button is present",""
"passed","Wed Jan 10 23:27:11 GMT 2024","Wed Jan 10 23:27:17 GMT 2024","5551","","","Demo page","","","validation",""
"passed","Wed Jan 10 23:27:02 GMT 2024","Wed Jan 10 23:27:03 GMT 2024","1642","","","","","","get started link",""
"passed","Wed Jan 10 23:26:58 GMT 2024","Wed Jan 10 23:27:02 GMT 2024","4053","","","","","","@web Error validation",""
"passed","Wed Jan 10 23:26:51 GMT 2024","Wed Jan 10 23:26:54 GMT 2024","3528","","","","","","Child window handling",""
"passed","Wed Jan 10 23:27:07 GMT 2024","Wed Jan 10 23:27:10 GMT 2024","2587","","","Home Page","","","validate the page title",""
"passed","Wed Jan 10 23:27:03 GMT 2024","Wed Jan 10 23:27:07 GMT 2024","3751","","","","","","@UI Locator",""
"passed","Wed Jan 10 23:27:10 GMT 2024","Wed Jan 10 23:27:10 GMT 2024","809","","","Home Page","","","validate the free link is visible or not",""
"passed","Wed Jan 10 23:27:17 GMT 2024","Wed Jan 10 23:27:23 GMT 2024","6353","","","Demo page","","","validation of screen shot",""
"passed","Wed Jan 10 23:26:54 GMT 2024","Wed Jan 10 23:26:58 GMT 2024","3335","","","","","","Different types of locator",""
