"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 01 23:27:24 GMT 2024","Mon Jul 01 23:27:24 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"passed","Mon Jul 01 23:27:20 GMT 2024","Mon Jul 01 23:27:24 GMT 2024","3417","","","","","","@UI Locator",""
"failed","Mon Jul 01 23:27:17 GMT 2024","Mon Jul 01 23:27:18 GMT 2024","858","","","","","","Different types of locator",""
"failed","Mon Jul 01 23:27:18 GMT 2024","Mon Jul 01 23:27:19 GMT 2024","861","","","","","","@web Error validation",""
"failed","Mon Jul 01 23:27:26 GMT 2024","Mon Jul 01 23:27:27 GMT 2024","856","","","Demo page","","","validation of screen shot",""
"passed","Mon Jul 01 23:27:19 GMT 2024","Mon Jul 01 23:27:20 GMT 2024","1141","","","","","","get started link",""
"failed","Mon Jul 01 23:27:25 GMT 2024","Mon Jul 01 23:27:25 GMT 2024","848","","","Demo page","","","validation",""
"failed","Mon Jul 01 23:27:16 GMT 2024","Mon Jul 01 23:27:16 GMT 2024","928","","","","","","Child window handling",""
"failed","Mon Jul 01 23:27:24 GMT 2024","Mon Jul 01 23:27:24 GMT 2024","602","","","Home Page","","","validate the page title",""
"skipped","Mon Jul 01 23:27:24 GMT 2024","Mon Jul 01 23:27:24 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
