"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","802","Different types of locator","","Fri Jan 31 23:28:44 GMT 2025","failed","Fri Jan 31 23:28:45 GMT 2025","","","",""
"","1065","get started link","","Fri Jan 31 23:28:46 GMT 2025","passed","Fri Jan 31 23:28:47 GMT 2025","","","",""
"","590","validate the page title","","Fri Jan 31 23:28:50 GMT 2025","failed","Fri Jan 31 23:28:50 GMT 2025","Home Page","","",""
"","788","@web Error validation","","Fri Jan 31 23:28:45 GMT 2025","failed","Fri Jan 31 23:28:46 GMT 2025","","","",""
"","0","should admin radio button is present","","Fri Jan 31 23:28:50 GMT 2025","skipped","Fri Jan 31 23:28:50 GMT 2025","Home Page","","",""
"","2355","@UI Locator","","Fri Jan 31 23:28:47 GMT 2025","passed","Fri Jan 31 23:28:50 GMT 2025","","","",""
"","793","validation of screen shot","","Fri Jan 31 23:28:52 GMT 2025","failed","Fri Jan 31 23:28:52 GMT 2025","Demo page","","",""
"","0","validate the free link is visible or not","","Fri Jan 31 23:28:50 GMT 2025","skipped","Fri Jan 31 23:28:50 GMT 2025","Home Page","","",""
"","905","Child window handling","","Fri Jan 31 23:28:43 GMT 2025","failed","Fri Jan 31 23:28:44 GMT 2025","","","",""
"","799","validation","","Fri Jan 31 23:28:51 GMT 2025","failed","Fri Jan 31 23:28:51 GMT 2025","Demo page","","",""
