"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1165","Child window handling","","Sun Apr 06 23:29:51 GMT 2025","failed","Sun Apr 06 23:29:52 GMT 2025","","","",""
"","655","validate the page title","","Sun Apr 06 23:29:59 GMT 2025","failed","Sun Apr 06 23:29:59 GMT 2025","Home Page","","",""
"","912","Different types of locator","","Sun Apr 06 23:29:53 GMT 2025","failed","Sun Apr 06 23:29:53 GMT 2025","","","",""
"","914","validation of screen shot","","Sun Apr 06 23:30:01 GMT 2025","failed","Sun Apr 06 23:30:02 GMT 2025","Demo page","","",""
"","0","should admin radio button is present","","Sun Apr 06 23:29:59 GMT 2025","skipped","Sun Apr 06 23:29:59 GMT 2025","Home Page","","",""
"","912","validation","","Sun Apr 06 23:30:00 GMT 2025","failed","Sun Apr 06 23:30:01 GMT 2025","Demo page","","",""
"","1","validate the free link is visible or not","","Sun Apr 06 23:29:59 GMT 2025","skipped","Sun Apr 06 23:29:59 GMT 2025","Home Page","","",""
"","2034","@UI Locator","","Sun Apr 06 23:29:57 GMT 2025","passed","Sun Apr 06 23:29:59 GMT 2025","","","",""
"","1674","get started link","","Sun Apr 06 23:29:55 GMT 2025","passed","Sun Apr 06 23:29:57 GMT 2025","","","",""
"","905","@web Error validation","","Sun Apr 06 23:29:54 GMT 2025","failed","Sun Apr 06 23:29:55 GMT 2025","","","",""
