"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should admin radio button is present","","Wed Jan 22 23:29:02 GMT 2025","skipped","Wed Jan 22 23:29:02 GMT 2025","Home Page","","",""
"","0","validate the free link is visible or not","","Wed Jan 22 23:29:02 GMT 2025","skipped","Wed Jan 22 23:29:02 GMT 2025","Home Page","","",""
"","796","Different types of locator","","Wed Jan 22 23:28:56 GMT 2025","failed","Wed Jan 22 23:28:57 GMT 2025","","","",""
"","805","validation","","Wed Jan 22 23:29:02 GMT 2025","failed","Wed Jan 22 23:29:03 GMT 2025","Demo page","","",""
"","792","@web Error validation","","Wed Jan 22 23:28:57 GMT 2025","failed","Wed Jan 22 23:28:58 GMT 2025","","","",""
"","605","validate the page title","","Wed Jan 22 23:29:01 GMT 2025","failed","Wed Jan 22 23:29:02 GMT 2025","Home Page","","",""
"","829","Child window handling","","Wed Jan 22 23:28:55 GMT 2025","failed","Wed Jan 22 23:28:56 GMT 2025","","","",""
"","799","validation of screen shot","","Wed Jan 22 23:29:03 GMT 2025","failed","Wed Jan 22 23:29:04 GMT 2025","Demo page","","",""
"","1035","get started link","","Wed Jan 22 23:28:58 GMT 2025","passed","Wed Jan 22 23:28:59 GMT 2025","","","",""
"","1584","@UI Locator","","Wed Jan 22 23:28:59 GMT 2025","passed","Wed Jan 22 23:29:01 GMT 2025","","","",""
