"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 23:26:53 GMT 2024","Sun May 12 23:26:57 GMT 2024","4157","","","","","","@web Error validation",""
"passed","Sun May 12 23:26:49 GMT 2024","Sun May 12 23:26:53 GMT 2024","3901","","","","","","Different types of locator",""
"passed","Sun May 12 23:27:33 GMT 2024","Sun May 12 23:27:34 GMT 2024","308","","","Home Page","","","should admin radio button is present",""
"passed","Sun May 12 23:26:45 GMT 2024","Sun May 12 23:26:49 GMT 2024","4536","","","","","","Child window handling",""
"broken","Sun May 12 23:26:59 GMT 2024","Sun May 12 23:27:31 GMT 2024","31594","","","","","","@UI Locator",""
"passed","Sun May 12 23:26:57 GMT 2024","Sun May 12 23:26:59 GMT 2024","1848","","","","","","get started link",""
"passed","Sun May 12 23:27:33 GMT 2024","Sun May 12 23:27:33 GMT 2024","295","","","Home Page","","","validate the free link is visible or not",""
"passed","Sun May 12 23:27:34 GMT 2024","Sun May 12 23:27:39 GMT 2024","5556","","","Demo page","","","validation",""
"passed","Sun May 12 23:27:31 GMT 2024","Sun May 12 23:27:33 GMT 2024","1632","","","Home Page","","","validate the page title",""
"passed","Sun May 12 23:27:39 GMT 2024","Sun May 12 23:27:45 GMT 2024","5837","","","Demo page","","","validation of screen shot",""
