"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 12 23:30:04 GMT 2024","Sat Oct 12 23:30:04 GMT 2024","848","","","","","","@web Error validation",""
"skipped","Sat Oct 12 23:30:08 GMT 2024","Sat Oct 12 23:30:08 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Sat Oct 12 23:30:09 GMT 2024","Sat Oct 12 23:30:09 GMT 2024","887","","","Demo page","","","validation",""
"failed","Sat Oct 12 23:30:10 GMT 2024","Sat Oct 12 23:30:11 GMT 2024","875","","","Demo page","","","validation of screen shot",""
"passed","Sat Oct 12 23:30:06 GMT 2024","Sat Oct 12 23:30:08 GMT 2024","1775","","","","","","@UI Locator",""
"passed","Sat Oct 12 23:30:05 GMT 2024","Sat Oct 12 23:30:06 GMT 2024","1128","","","","","","get started link",""
"failed","Sat Oct 12 23:30:02 GMT 2024","Sat Oct 12 23:30:03 GMT 2024","868","","","","","","Different types of locator",""
"failed","Sat Oct 12 23:30:08 GMT 2024","Sat Oct 12 23:30:08 GMT 2024","624","","","Home Page","","","validate the page title",""
"failed","Sat Oct 12 23:29:59 GMT 2024","Sat Oct 12 23:30:02 GMT 2024","3537","","","","","","Child window handling",""
"skipped","Sat Oct 12 23:30:08 GMT 2024","Sat Oct 12 23:30:08 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
