"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 23:26:43 GMT 2024","Sun Jun 09 23:26:45 GMT 2024","1084","","","","","","get started link",""
"failed","Sun Jun 09 23:26:39 GMT 2024","Sun Jun 09 23:26:41 GMT 2024","1899","","","","","","Child window handling",""
"skipped","Sun Jun 09 23:26:49 GMT 2024","Sun Jun 09 23:26:49 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Sun Jun 09 23:26:42 GMT 2024","Sun Jun 09 23:26:43 GMT 2024","901","","","","","","@web Error validation",""
"skipped","Sun Jun 09 23:26:49 GMT 2024","Sun Jun 09 23:26:49 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Sun Jun 09 23:26:51 GMT 2024","Sun Jun 09 23:26:52 GMT 2024","885","","","Demo page","","","validation of screen shot",""
"failed","Sun Jun 09 23:26:49 GMT 2024","Sun Jun 09 23:26:49 GMT 2024","671","","","Home Page","","","validate the page title",""
"failed","Sun Jun 09 23:26:50 GMT 2024","Sun Jun 09 23:26:50 GMT 2024","873","","","Demo page","","","validation",""
"passed","Sun Jun 09 23:26:45 GMT 2024","Sun Jun 09 23:26:49 GMT 2024","3996","","","","","","@UI Locator",""
"failed","Sun Jun 09 23:26:41 GMT 2024","Sun Jun 09 23:26:42 GMT 2024","870","","","","","","Different types of locator",""
