"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","842","Different types of locator","","Sun Dec 08 23:30:49 GMT 2024","failed","Sun Dec 08 23:30:50 GMT 2024","","","",""
"","858","validation of screen shot","","Sun Dec 08 23:30:57 GMT 2024","failed","Sun Dec 08 23:30:57 GMT 2024","Demo page","","",""
"","872","validation","","Sun Dec 08 23:30:55 GMT 2024","failed","Sun Dec 08 23:30:56 GMT 2024","Demo page","","",""
"","1013","Child window handling","","Sun Dec 08 23:30:48 GMT 2024","failed","Sun Dec 08 23:30:49 GMT 2024","","","",""
"","603","validate the page title","","Sun Dec 08 23:30:55 GMT 2024","failed","Sun Dec 08 23:30:55 GMT 2024","Home Page","","",""
"","0","validate the free link is visible or not","","Sun Dec 08 23:30:55 GMT 2024","skipped","Sun Dec 08 23:30:55 GMT 2024","Home Page","","",""
"","1745","@UI Locator","","Sun Dec 08 23:30:53 GMT 2024","passed","Sun Dec 08 23:30:55 GMT 2024","","","",""
"","1","should admin radio button is present","","Sun Dec 08 23:30:55 GMT 2024","skipped","Sun Dec 08 23:30:55 GMT 2024","Home Page","","",""
"","839","@web Error validation","","Sun Dec 08 23:30:51 GMT 2024","failed","Sun Dec 08 23:30:51 GMT 2024","","","",""
"","1061","get started link","","Sun Dec 08 23:30:52 GMT 2024","passed","Sun Dec 08 23:30:53 GMT 2024","","","",""
