"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1053","get started link","","Sat Jan 04 23:29:06 GMT 2025","passed","Sat Jan 04 23:29:07 GMT 2025","","","",""
"","1619","Child window handling","","Sat Jan 04 23:29:02 GMT 2025","failed","Sat Jan 04 23:29:03 GMT 2025","","","",""
"","666","validate the page title","","Sat Jan 04 23:29:10 GMT 2025","failed","Sat Jan 04 23:29:10 GMT 2025","Home Page","","",""
"","875","@web Error validation","","Sat Jan 04 23:29:05 GMT 2025","failed","Sat Jan 04 23:29:06 GMT 2025","","","",""
"","869","validation","","Sat Jan 04 23:29:11 GMT 2025","failed","Sat Jan 04 23:29:11 GMT 2025","Demo page","","",""
"","0","should admin radio button is present","","Sat Jan 04 23:29:10 GMT 2025","skipped","Sat Jan 04 23:29:10 GMT 2025","Home Page","","",""
"","2458","@UI Locator","","Sat Jan 04 23:29:07 GMT 2025","passed","Sat Jan 04 23:29:10 GMT 2025","","","",""
"","1","validate the free link is visible or not","","Sat Jan 04 23:29:10 GMT 2025","skipped","Sat Jan 04 23:29:10 GMT 2025","Home Page","","",""
"","878","Different types of locator","","Sat Jan 04 23:29:04 GMT 2025","failed","Sat Jan 04 23:29:05 GMT 2025","","","",""
"","881","validation of screen shot","","Sat Jan 04 23:29:12 GMT 2025","failed","Sat Jan 04 23:29:13 GMT 2025","Demo page","","",""
