"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","824","Different types of locator","","Thu Jan 30 23:29:50 GMT 2025","failed","Thu Jan 30 23:29:50 GMT 2025","","","",""
"","617","validate the page title","","Thu Jan 30 23:29:55 GMT 2025","failed","Thu Jan 30 23:29:56 GMT 2025","Home Page","","",""
"","815","validation","","Thu Jan 30 23:29:56 GMT 2025","failed","Thu Jan 30 23:29:57 GMT 2025","Demo page","","",""
"","1210","get started link","","Thu Jan 30 23:29:52 GMT 2025","passed","Thu Jan 30 23:29:53 GMT 2025","","","",""
"","1","validate the free link is visible or not","","Thu Jan 30 23:29:56 GMT 2025","skipped","Thu Jan 30 23:29:56 GMT 2025","Home Page","","",""
"","851","Child window handling","","Thu Jan 30 23:29:48 GMT 2025","failed","Thu Jan 30 23:29:49 GMT 2025","","","",""
"","0","should admin radio button is present","","Thu Jan 30 23:29:56 GMT 2025","skipped","Thu Jan 30 23:29:56 GMT 2025","Home Page","","",""
"","818","@web Error validation","","Thu Jan 30 23:29:51 GMT 2025","failed","Thu Jan 30 23:29:52 GMT 2025","","","",""
"","816","validation of screen shot","","Thu Jan 30 23:29:57 GMT 2025","failed","Thu Jan 30 23:29:58 GMT 2025","Demo page","","",""
"","1801","@UI Locator","","Thu Jan 30 23:29:53 GMT 2025","passed","Thu Jan 30 23:29:55 GMT 2025","","","",""
