"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 29 23:27:13 GMT 2024","Sat Jun 29 23:27:14 GMT 2024","891","","","","","","Different types of locator",""
"failed","Sat Jun 29 23:27:11 GMT 2024","Sat Jun 29 23:27:12 GMT 2024","1056","","","","","","Child window handling",""
"failed","Sat Jun 29 23:27:14 GMT 2024","Sat Jun 29 23:27:15 GMT 2024","869","","","","","","@web Error validation",""
"failed","Sat Jun 29 23:27:20 GMT 2024","Sat Jun 29 23:27:21 GMT 2024","875","","","Demo page","","","validation",""
"skipped","Sat Jun 29 23:27:20 GMT 2024","Sat Jun 29 23:27:20 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"passed","Sat Jun 29 23:27:16 GMT 2024","Sat Jun 29 23:27:19 GMT 2024","3121","","","","","","@UI Locator",""
"skipped","Sat Jun 29 23:27:20 GMT 2024","Sat Jun 29 23:27:20 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"passed","Sat Jun 29 23:27:15 GMT 2024","Sat Jun 29 23:27:16 GMT 2024","1054","","","","","","get started link",""
"failed","Sat Jun 29 23:27:19 GMT 2024","Sat Jun 29 23:27:20 GMT 2024","649","","","Home Page","","","validate the page title",""
"failed","Sat Jun 29 23:27:21 GMT 2024","Sat Jun 29 23:27:22 GMT 2024","882","","","Demo page","","","validation of screen shot",""
