"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 23:27:43 GMT 2024","Sat Aug 31 23:27:44 GMT 2024","1267","","","","","","get started link",""
"failed","Sat Aug 31 23:27:39 GMT 2024","Sat Aug 31 23:27:40 GMT 2024","1146","","","","","","Child window handling",""
"failed","Sat Aug 31 23:27:48 GMT 2024","Sat Aug 31 23:27:49 GMT 2024","632","","","Home Page","","","validate the page title",""
"failed","Sat Aug 31 23:27:42 GMT 2024","Sat Aug 31 23:27:43 GMT 2024","891","","","","","","@web Error validation",""
"failed","Sat Aug 31 23:27:41 GMT 2024","Sat Aug 31 23:27:41 GMT 2024","913","","","","","","Different types of locator",""
"failed","Sat Aug 31 23:27:49 GMT 2024","Sat Aug 31 23:27:50 GMT 2024","876","","","Demo page","","","validation",""
"skipped","Sat Aug 31 23:27:49 GMT 2024","Sat Aug 31 23:27:49 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"failed","Sat Aug 31 23:27:50 GMT 2024","Sat Aug 31 23:27:51 GMT 2024","882","","","Demo page","","","validation of screen shot",""
"skipped","Sat Aug 31 23:27:49 GMT 2024","Sat Aug 31 23:27:49 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"passed","Sat Aug 31 23:27:44 GMT 2024","Sat Aug 31 23:27:48 GMT 2024","3918","","","","","","@UI Locator",""
