"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1753","@UI Locator","","Thu Feb 20 23:30:48 GMT 2025","passed","Thu Feb 20 23:30:50 GMT 2025","","","",""
"","847","Different types of locator","","Thu Feb 20 23:30:45 GMT 2025","failed","Thu Feb 20 23:30:46 GMT 2025","","","",""
"","603","validate the page title","","Thu Feb 20 23:30:50 GMT 2025","failed","Thu Feb 20 23:30:51 GMT 2025","Home Page","","",""
"","0","validate the free link is visible or not","","Thu Feb 20 23:30:51 GMT 2025","skipped","Thu Feb 20 23:30:51 GMT 2025","Home Page","","",""
"","1","should admin radio button is present","","Thu Feb 20 23:30:51 GMT 2025","skipped","Thu Feb 20 23:30:51 GMT 2025","Home Page","","",""
"","857","validation","","Thu Feb 20 23:30:51 GMT 2025","failed","Thu Feb 20 23:30:52 GMT 2025","Demo page","","",""
"","847","@web Error validation","","Thu Feb 20 23:30:46 GMT 2025","failed","Thu Feb 20 23:30:47 GMT 2025","","","",""
"","1133","get started link","","Thu Feb 20 23:30:47 GMT 2025","passed","Thu Feb 20 23:30:48 GMT 2025","","","",""
"","1080","Child window handling","","Thu Feb 20 23:30:44 GMT 2025","failed","Thu Feb 20 23:30:45 GMT 2025","","","",""
"","858","validation of screen shot","","Thu Feb 20 23:30:52 GMT 2025","failed","Thu Feb 20 23:30:53 GMT 2025","Demo page","","",""
