"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 04 23:28:02 GMT 2024","Thu Jul 04 23:28:03 GMT 2024","911","","","Demo page","","","validation of screen shot",""
"failed","Thu Jul 04 23:28:01 GMT 2024","Thu Jul 04 23:28:02 GMT 2024","908","","","Demo page","","","validation",""
"failed","Thu Jul 04 23:27:52 GMT 2024","Thu Jul 04 23:27:53 GMT 2024","913","","","","","","Different types of locator",""
"failed","Thu Jul 04 23:27:51 GMT 2024","Thu Jul 04 23:27:52 GMT 2024","1082","","","","","","Child window handling",""
"failed","Thu Jul 04 23:28:00 GMT 2024","Thu Jul 04 23:28:00 GMT 2024","660","","","Home Page","","","validate the page title",""
"failed","Thu Jul 04 23:27:54 GMT 2024","Thu Jul 04 23:27:54 GMT 2024","910","","","","","","@web Error validation",""
"passed","Thu Jul 04 23:27:56 GMT 2024","Thu Jul 04 23:28:00 GMT 2024","3680","","","","","","@UI Locator",""
"passed","Thu Jul 04 23:27:55 GMT 2024","Thu Jul 04 23:27:56 GMT 2024","1179","","","","","","get started link",""
"skipped","Thu Jul 04 23:28:00 GMT 2024","Thu Jul 04 23:28:00 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"skipped","Thu Jul 04 23:28:00 GMT 2024","Thu Jul 04 23:28:00 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
