"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 23:28:29 GMT 2024","Wed Jul 31 23:28:30 GMT 2024","915","","","Demo page","","","validation of screen shot",""
"failed","Wed Jul 31 23:28:21 GMT 2024","Wed Jul 31 23:28:22 GMT 2024","913","","","","","","@web Error validation",""
"failed","Wed Jul 31 23:28:27 GMT 2024","Wed Jul 31 23:28:27 GMT 2024","663","","","Home Page","","","validate the page title",""
"failed","Wed Jul 31 23:28:20 GMT 2024","Wed Jul 31 23:28:21 GMT 2024","908","","","","","","Different types of locator",""
"passed","Wed Jul 31 23:28:22 GMT 2024","Wed Jul 31 23:28:23 GMT 2024","1149","","","","","","get started link",""
"skipped","Wed Jul 31 23:28:27 GMT 2024","Wed Jul 31 23:28:27 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Wed Jul 31 23:28:28 GMT 2024","Wed Jul 31 23:28:29 GMT 2024","894","","","Demo page","","","validation",""
"passed","Wed Jul 31 23:28:23 GMT 2024","Wed Jul 31 23:28:27 GMT 2024","3567","","","","","","@UI Locator",""
"skipped","Wed Jul 31 23:28:27 GMT 2024","Wed Jul 31 23:28:27 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Wed Jul 31 23:28:18 GMT 2024","Wed Jul 31 23:28:19 GMT 2024","1076","","","","","","Child window handling",""
