"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1119","Child window handling","","Sun Feb 16 23:28:16 GMT 2025","failed","Sun Feb 16 23:28:18 GMT 2025","","","",""
"","1098","get started link","","Sun Feb 16 23:28:20 GMT 2025","passed","Sun Feb 16 23:28:21 GMT 2025","","","",""
"","1730","@UI Locator","","Sun Feb 16 23:28:21 GMT 2025","passed","Sun Feb 16 23:28:23 GMT 2025","","","",""
"","845","Different types of locator","","Sun Feb 16 23:28:18 GMT 2025","failed","Sun Feb 16 23:28:19 GMT 2025","","","",""
"","887","validation","","Sun Feb 16 23:28:24 GMT 2025","failed","Sun Feb 16 23:28:25 GMT 2025","Demo page","","",""
"","1","validate the free link is visible or not","","Sun Feb 16 23:28:24 GMT 2025","skipped","Sun Feb 16 23:28:24 GMT 2025","Home Page","","",""
"","862","validation of screen shot","","Sun Feb 16 23:28:25 GMT 2025","failed","Sun Feb 16 23:28:26 GMT 2025","Demo page","","",""
"","840","@web Error validation","","Sun Feb 16 23:28:19 GMT 2025","failed","Sun Feb 16 23:28:20 GMT 2025","","","",""
"","1","should admin radio button is present","","Sun Feb 16 23:28:24 GMT 2025","skipped","Sun Feb 16 23:28:24 GMT 2025","Home Page","","",""
"","611","validate the page title","","Sun Feb 16 23:28:23 GMT 2025","failed","Sun Feb 16 23:28:24 GMT 2025","Home Page","","",""
