"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 23:27:22 GMT 2024","Fri Apr 05 23:27:23 GMT 2024","642","","","Home Page","","","should admin radio button is present",""
"passed","Fri Apr 05 23:27:22 GMT 2024","Fri Apr 05 23:27:22 GMT 2024","704","","","Home Page","","","validate the free link is visible or not",""
"passed","Fri Apr 05 23:27:23 GMT 2024","Fri Apr 05 23:27:29 GMT 2024","5734","","","Demo page","","","validation",""
"passed","Fri Apr 05 23:27:14 GMT 2024","Fri Apr 05 23:27:16 GMT 2024","1608","","","","","","get started link",""
"passed","Fri Apr 05 23:27:29 GMT 2024","Fri Apr 05 23:27:34 GMT 2024","5654","","","Demo page","","","validation of screen shot",""
"passed","Fri Apr 05 23:27:19 GMT 2024","Fri Apr 05 23:27:22 GMT 2024","2177","","","Home Page","","","validate the page title",""
"passed","Fri Apr 05 23:27:07 GMT 2024","Fri Apr 05 23:27:10 GMT 2024","3611","","","","","","Different types of locator",""
"passed","Fri Apr 05 23:27:16 GMT 2024","Fri Apr 05 23:27:19 GMT 2024","3573","","","","","","@UI Locator",""
"passed","Fri Apr 05 23:27:10 GMT 2024","Fri Apr 05 23:27:14 GMT 2024","4085","","","","","","@web Error validation",""
"passed","Fri Apr 05 23:27:03 GMT 2024","Fri Apr 05 23:27:07 GMT 2024","3897","","","","","","Child window handling",""
