"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","850","Different types of locator","","Sat Mar 15 23:29:09 GMT 2025","failed","Sat Mar 15 23:29:10 GMT 2025","","","",""
"","1248","get started link","","Sat Mar 15 23:29:11 GMT 2025","passed","Sat Mar 15 23:29:12 GMT 2025","","","",""
"","856","validation of screen shot","","Sat Mar 15 23:29:16 GMT 2025","failed","Sat Mar 15 23:29:17 GMT 2025","Demo page","","",""
"","0","validate the free link is visible or not","","Sat Mar 15 23:29:15 GMT 2025","skipped","Sat Mar 15 23:29:15 GMT 2025","Home Page","","",""
"","0","should admin radio button is present","","Sat Mar 15 23:29:15 GMT 2025","skipped","Sat Mar 15 23:29:15 GMT 2025","Home Page","","",""
"","861","validation","","Sat Mar 15 23:29:15 GMT 2025","failed","Sat Mar 15 23:29:16 GMT 2025","Demo page","","",""
"","1702","@UI Locator","","Sat Mar 15 23:29:12 GMT 2025","passed","Sat Mar 15 23:29:14 GMT 2025","","","",""
"","623","validate the page title","","Sat Mar 15 23:29:14 GMT 2025","failed","Sat Mar 15 23:29:15 GMT 2025","Home Page","","",""
"","855","@web Error validation","","Sat Mar 15 23:29:10 GMT 2025","failed","Sat Mar 15 23:29:11 GMT 2025","","","",""
"","4333","Child window handling","","Sat Mar 15 23:29:04 GMT 2025","failed","Sat Mar 15 23:29:09 GMT 2025","","","",""
