"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 23:28:42 GMT 2024","Sat Feb 24 23:28:46 GMT 2024","4127","","","","","","@web Error validation",""
"passed","Sat Feb 24 23:28:56 GMT 2024","Sat Feb 24 23:28:56 GMT 2024","344","","","Home Page","","","validate the free link is visible or not",""
"passed","Sat Feb 24 23:28:38 GMT 2024","Sat Feb 24 23:28:42 GMT 2024","3476","","","","","","Different types of locator",""
"passed","Sat Feb 24 23:29:03 GMT 2024","Sat Feb 24 23:29:09 GMT 2024","6049","","","Demo page","","","validation of screen shot",""
"failed","Sat Feb 24 23:28:47 GMT 2024","Sat Feb 24 23:28:54 GMT 2024","6674","","","","","","@UI Locator",""
"passed","Sat Feb 24 23:28:54 GMT 2024","Sat Feb 24 23:28:56 GMT 2024","1785","","","Home Page","","","validate the page title",""
"passed","Sat Feb 24 23:28:57 GMT 2024","Sat Feb 24 23:29:03 GMT 2024","5852","","","Demo page","","","validation",""
"passed","Sat Feb 24 23:28:56 GMT 2024","Sat Feb 24 23:28:57 GMT 2024","325","","","Home Page","","","should admin radio button is present",""
"passed","Sat Feb 24 23:28:46 GMT 2024","Sat Feb 24 23:28:47 GMT 2024","1613","","","","","","get started link",""
"passed","Sat Feb 24 23:28:34 GMT 2024","Sat Feb 24 23:28:38 GMT 2024","4540","","","","","","Child window handling",""
