"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","867","@web Error validation","","Sun Jan 12 23:28:49 GMT 2025","failed","Sun Jan 12 23:28:50 GMT 2025","","","",""
"","861","validation of screen shot","","Sun Jan 12 23:28:56 GMT 2025","failed","Sun Jan 12 23:28:57 GMT 2025","Demo page","","",""
"","2521","@UI Locator","","Sun Jan 12 23:28:51 GMT 2025","passed","Sun Jan 12 23:28:54 GMT 2025","","","",""
"","869","Different types of locator","","Sun Jan 12 23:28:48 GMT 2025","failed","Sun Jan 12 23:28:49 GMT 2025","","","",""
"","0","should admin radio button is present","","Sun Jan 12 23:28:54 GMT 2025","skipped","Sun Jan 12 23:28:54 GMT 2025","Home Page","","",""
"","867","validation","","Sun Jan 12 23:28:55 GMT 2025","failed","Sun Jan 12 23:28:56 GMT 2025","Demo page","","",""
"","1083","Child window handling","","Sun Jan 12 23:28:46 GMT 2025","failed","Sun Jan 12 23:28:47 GMT 2025","","","",""
"","1151","get started link","","Sun Jan 12 23:28:50 GMT 2025","passed","Sun Jan 12 23:28:51 GMT 2025","","","",""
"","647","validate the page title","","Sun Jan 12 23:28:54 GMT 2025","failed","Sun Jan 12 23:28:54 GMT 2025","Home Page","","",""
"","1","validate the free link is visible or not","","Sun Jan 12 23:28:54 GMT 2025","skipped","Sun Jan 12 23:28:54 GMT 2025","Home Page","","",""
