"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 12 23:29:44 GMT 2024","Mon Aug 12 23:29:45 GMT 2024","830","","","Demo page","","","validation of screen shot",""
"failed","Mon Aug 12 23:29:43 GMT 2024","Mon Aug 12 23:29:44 GMT 2024","839","","","Demo page","","","validation",""
"failed","Mon Aug 12 23:29:34 GMT 2024","Mon Aug 12 23:29:35 GMT 2024","931","","","","","","Child window handling",""
"passed","Mon Aug 12 23:29:39 GMT 2024","Mon Aug 12 23:29:42 GMT 2024","3203","","","","","","@UI Locator",""
"skipped","Mon Aug 12 23:29:43 GMT 2024","Mon Aug 12 23:29:43 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"skipped","Mon Aug 12 23:29:43 GMT 2024","Mon Aug 12 23:29:43 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Mon Aug 12 23:29:42 GMT 2024","Mon Aug 12 23:29:43 GMT 2024","598","","","Home Page","","","validate the page title",""
"failed","Mon Aug 12 23:29:37 GMT 2024","Mon Aug 12 23:29:37 GMT 2024","843","","","","","","@web Error validation",""
"failed","Mon Aug 12 23:29:35 GMT 2024","Mon Aug 12 23:29:36 GMT 2024","848","","","","","","Different types of locator",""
"passed","Mon Aug 12 23:29:38 GMT 2024","Mon Aug 12 23:29:39 GMT 2024","1146","","","","","","get started link",""
