"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 23:27:53 GMT 2024","Mon Jun 17 23:27:56 GMT 2024","2889","","","","","","@UI Locator",""
"passed","Mon Jun 17 23:27:52 GMT 2024","Mon Jun 17 23:27:53 GMT 2024","1109","","","","","","get started link",""
"skipped","Mon Jun 17 23:27:57 GMT 2024","Mon Jun 17 23:27:57 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Mon Jun 17 23:27:56 GMT 2024","Mon Jun 17 23:27:57 GMT 2024","591","","","Home Page","","","validate the page title",""
"failed","Mon Jun 17 23:27:58 GMT 2024","Mon Jun 17 23:27:59 GMT 2024","866","","","Demo page","","","validation of screen shot",""
"failed","Mon Jun 17 23:27:51 GMT 2024","Mon Jun 17 23:27:52 GMT 2024","861","","","","","","@web Error validation",""
"failed","Mon Jun 17 23:27:50 GMT 2024","Mon Jun 17 23:27:51 GMT 2024","848","","","","","","Different types of locator",""
"failed","Mon Jun 17 23:27:49 GMT 2024","Mon Jun 17 23:27:50 GMT 2024","947","","","","","","Child window handling",""
"skipped","Mon Jun 17 23:27:57 GMT 2024","Mon Jun 17 23:27:57 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Mon Jun 17 23:27:57 GMT 2024","Mon Jun 17 23:27:58 GMT 2024","858","","","Demo page","","","validation",""
