"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 23:27:39 GMT 2024","Tue May 21 23:27:40 GMT 2024","765","","","Home Page","","","should admin radio button is present",""
"passed","Tue May 21 23:27:17 GMT 2024","Tue May 21 23:27:23 GMT 2024","6192","","","","","","Child window handling",""
"passed","Tue May 21 23:27:38 GMT 2024","Tue May 21 23:27:39 GMT 2024","665","","","Home Page","","","validate the free link is visible or not",""
"passed","Tue May 21 23:27:40 GMT 2024","Tue May 21 23:27:46 GMT 2024","6501","","","Demo page","","","validation",""
"passed","Tue May 21 23:27:46 GMT 2024","Tue May 21 23:27:52 GMT 2024","6186","","","Demo page","","","validation of screen shot",""
"passed","Tue May 21 23:27:23 GMT 2024","Tue May 21 23:27:26 GMT 2024","3456","","","","","","Different types of locator",""
"passed","Tue May 21 23:27:26 GMT 2024","Tue May 21 23:27:30 GMT 2024","4132","","","","","","@web Error validation",""
"passed","Tue May 21 23:27:36 GMT 2024","Tue May 21 23:27:38 GMT 2024","2320","","","Home Page","","","validate the page title",""
"passed","Tue May 21 23:27:32 GMT 2024","Tue May 21 23:27:36 GMT 2024","3790","","","","","","@UI Locator",""
"passed","Tue May 21 23:27:30 GMT 2024","Tue May 21 23:27:32 GMT 2024","1671","","","","","","get started link",""
