"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 19 23:27:44 GMT 2024","Wed Jun 19 23:27:45 GMT 2024","890","","","Demo page","","","validation",""
"passed","Wed Jun 19 23:27:39 GMT 2024","Wed Jun 19 23:27:43 GMT 2024","3991","","","","","","@UI Locator",""
"passed","Wed Jun 19 23:27:38 GMT 2024","Wed Jun 19 23:27:39 GMT 2024","1143","","","","","","get started link",""
"failed","Wed Jun 19 23:27:36 GMT 2024","Wed Jun 19 23:27:37 GMT 2024","895","","","","","","Different types of locator",""
"failed","Wed Jun 19 23:27:34 GMT 2024","Wed Jun 19 23:27:35 GMT 2024","1649","","","","","","Child window handling",""
"failed","Wed Jun 19 23:27:37 GMT 2024","Wed Jun 19 23:27:38 GMT 2024","897","","","","","","@web Error validation",""
"failed","Wed Jun 19 23:27:45 GMT 2024","Wed Jun 19 23:27:46 GMT 2024","892","","","Demo page","","","validation of screen shot",""
"skipped","Wed Jun 19 23:27:44 GMT 2024","Wed Jun 19 23:27:44 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"skipped","Wed Jun 19 23:27:44 GMT 2024","Wed Jun 19 23:27:44 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Wed Jun 19 23:27:43 GMT 2024","Wed Jun 19 23:27:44 GMT 2024","638","","","Home Page","","","validate the page title",""
