"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 23:29:37 GMT 2024","Mon Oct 14 23:29:39 GMT 2024","1646","","","","","","@UI Locator",""
"failed","Mon Oct 14 23:29:35 GMT 2024","Mon Oct 14 23:29:36 GMT 2024","836","","","","","","@web Error validation",""
"failed","Mon Oct 14 23:29:39 GMT 2024","Mon Oct 14 23:29:40 GMT 2024","608","","","Home Page","","","validate the page title",""
"failed","Mon Oct 14 23:29:40 GMT 2024","Mon Oct 14 23:29:41 GMT 2024","841","","","Demo page","","","validation",""
"failed","Mon Oct 14 23:29:41 GMT 2024","Mon Oct 14 23:29:42 GMT 2024","846","","","Demo page","","","validation of screen shot",""
"skipped","Mon Oct 14 23:29:40 GMT 2024","Mon Oct 14 23:29:40 GMT 2024","1","","","Home Page","","","validate the free link is visible or not",""
"failed","Mon Oct 14 23:29:33 GMT 2024","Mon Oct 14 23:29:34 GMT 2024","1032","","","","","","Child window handling",""
"passed","Mon Oct 14 23:29:36 GMT 2024","Mon Oct 14 23:29:37 GMT 2024","1162","","","","","","get started link",""
"skipped","Mon Oct 14 23:29:40 GMT 2024","Mon Oct 14 23:29:40 GMT 2024","0","","","Home Page","","","should admin radio button is present",""
"failed","Mon Oct 14 23:29:34 GMT 2024","Mon Oct 14 23:29:35 GMT 2024","864","","","","","","Different types of locator",""
