"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 13 23:27:33 GMT 2024","Thu Jun 13 23:27:34 GMT 2024","929","","","","","","Different types of locator",""
"failed","Thu Jun 13 23:27:32 GMT 2024","Thu Jun 13 23:27:33 GMT 2024","1078","","","","","","Child window handling",""
"passed","Thu Jun 13 23:27:35 GMT 2024","Thu Jun 13 23:27:37 GMT 2024","1132","","","","","","get started link",""
"skipped","Thu Jun 13 23:27:41 GMT 2024","Thu Jun 13 23:27:41 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Thu Jun 13 23:27:34 GMT 2024","Thu Jun 13 23:27:35 GMT 2024","920","","","","","","@web Error validation",""
"passed","Thu Jun 13 23:27:37 GMT 2024","Thu Jun 13 23:27:40 GMT 2024","3718","","","","","","@UI Locator",""
"failed","Thu Jun 13 23:27:40 GMT 2024","Thu Jun 13 23:27:41 GMT 2024","663","","","Home Page","","","validate the page title",""
"failed","Thu Jun 13 23:27:41 GMT 2024","Thu Jun 13 23:27:42 GMT 2024","891","","","Demo page","","","validation",""
"skipped","Thu Jun 13 23:27:41 GMT 2024","Thu Jun 13 23:27:41 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Thu Jun 13 23:27:42 GMT 2024","Thu Jun 13 23:27:43 GMT 2024","904","","","Demo page","","","validation of screen shot",""
