"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","validate the free link is visible or not","","Sat Mar 01 23:30:39 GMT 2025","skipped","Sat Mar 01 23:30:39 GMT 2025","Home Page","","",""
"","2186","@UI Locator","","Sat Mar 01 23:30:36 GMT 2025","passed","Sat Mar 01 23:30:38 GMT 2025","","","",""
"","1","should admin radio button is present","","Sat Mar 01 23:30:39 GMT 2025","skipped","Sat Mar 01 23:30:39 GMT 2025","Home Page","","",""
"","904","validation of screen shot","","Sat Mar 01 23:30:40 GMT 2025","failed","Sat Mar 01 23:30:41 GMT 2025","Demo page","","",""
"","920","@web Error validation","","Sat Mar 01 23:30:33 GMT 2025","failed","Sat Mar 01 23:30:34 GMT 2025","","","",""
"","1066","Child window handling","","Sat Mar 01 23:30:31 GMT 2025","failed","Sat Mar 01 23:30:32 GMT 2025","","","",""
"","949","validation","","Sat Mar 01 23:30:39 GMT 2025","failed","Sat Mar 01 23:30:40 GMT 2025","Demo page","","",""
"","665","validate the page title","","Sat Mar 01 23:30:38 GMT 2025","failed","Sat Mar 01 23:30:39 GMT 2025","Home Page","","",""
"","907","Different types of locator","","Sat Mar 01 23:30:32 GMT 2025","failed","Sat Mar 01 23:30:33 GMT 2025","","","",""
"","1053","get started link","","Sat Mar 01 23:30:35 GMT 2025","passed","Sat Mar 01 23:30:36 GMT 2025","","","",""
