"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1729","@UI Locator","","Tue Jan 07 23:29:32 GMT 2025","passed","Tue Jan 07 23:29:33 GMT 2025","","","",""
"","1","should admin radio button is present","","Tue Jan 07 23:29:34 GMT 2025","skipped","Tue Jan 07 23:29:34 GMT 2025","Home Page","","",""
"","870","validation of screen shot","","Tue Jan 07 23:29:36 GMT 2025","failed","Tue Jan 07 23:29:36 GMT 2025","Demo page","","",""
"","1026","Child window handling","","Tue Jan 07 23:29:27 GMT 2025","failed","Tue Jan 07 23:29:28 GMT 2025","","","",""
"","1103","get started link","","Tue Jan 07 23:29:31 GMT 2025","passed","Tue Jan 07 23:29:32 GMT 2025","","","",""
"","644","validate the page title","","Tue Jan 07 23:29:33 GMT 2025","failed","Tue Jan 07 23:29:34 GMT 2025","Home Page","","",""
"","861","@web Error validation","","Tue Jan 07 23:29:29 GMT 2025","failed","Tue Jan 07 23:29:30 GMT 2025","","","",""
"","849","Different types of locator","","Tue Jan 07 23:29:28 GMT 2025","failed","Tue Jan 07 23:29:29 GMT 2025","","","",""
"","889","validation","","Tue Jan 07 23:29:34 GMT 2025","failed","Tue Jan 07 23:29:35 GMT 2025","Demo page","","",""
"","0","validate the free link is visible or not","","Tue Jan 07 23:29:34 GMT 2025","skipped","Tue Jan 07 23:29:34 GMT 2025","Home Page","","",""
