"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1188","get started link","","Fri Feb 28 23:29:56 GMT 2025","passed","Fri Feb 28 23:29:57 GMT 2025","","","",""
"","856","validation of screen shot","","Fri Feb 28 23:30:01 GMT 2025","failed","Fri Feb 28 23:30:02 GMT 2025","Demo page","","",""
"","1825","@web Error validation","","Fri Feb 28 23:29:54 GMT 2025","failed","Fri Feb 28 23:29:56 GMT 2025","","","",""
"","635","validate the page title","","Fri Feb 28 23:29:59 GMT 2025","failed","Fri Feb 28 23:30:00 GMT 2025","Home Page","","",""
"","3834","Child window handling","","Fri Feb 28 23:29:49 GMT 2025","failed","Fri Feb 28 23:29:53 GMT 2025","","","",""
"","1798","@UI Locator","","Fri Feb 28 23:29:57 GMT 2025","passed","Fri Feb 28 23:29:59 GMT 2025","","","",""
"","1","validate the free link is visible or not","","Fri Feb 28 23:30:00 GMT 2025","skipped","Fri Feb 28 23:30:00 GMT 2025","Home Page","","",""
"","865","Different types of locator","","Fri Feb 28 23:29:53 GMT 2025","failed","Fri Feb 28 23:29:54 GMT 2025","","","",""
"","1","should admin radio button is present","","Fri Feb 28 23:30:00 GMT 2025","skipped","Fri Feb 28 23:30:00 GMT 2025","Home Page","","",""
"","873","validation","","Fri Feb 28 23:30:00 GMT 2025","failed","Fri Feb 28 23:30:01 GMT 2025","Demo page","","",""
