"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 08 23:27:03 GMT 2024","Mon Jul 08 23:27:04 GMT 2024","856","","","","","","@web Error validation",""
"failed","Mon Jul 08 23:27:08 GMT 2024","Mon Jul 08 23:27:09 GMT 2024","603","","","Home Page","","","validate the page title",""
"skipped","Mon Jul 08 23:27:09 GMT 2024","Mon Jul 08 23:27:09 GMT 2024","0","","","Home Page","","","validate the free link is visible or not",""
"failed","Mon Jul 08 23:27:02 GMT 2024","Mon Jul 08 23:27:02 GMT 2024","851","","","","","","Different types of locator",""
"failed","Mon Jul 08 23:27:10 GMT 2024","Mon Jul 08 23:27:11 GMT 2024","854","","","Demo page","","","validation of screen shot",""
"skipped","Mon Jul 08 23:27:09 GMT 2024","Mon Jul 08 23:27:09 GMT 2024","1","","","Home Page","","","should admin radio button is present",""
"failed","Mon Jul 08 23:27:09 GMT 2024","Mon Jul 08 23:27:10 GMT 2024","870","","","Demo page","","","validation",""
"failed","Mon Jul 08 23:27:00 GMT 2024","Mon Jul 08 23:27:01 GMT 2024","1016","","","","","","Child window handling",""
"passed","Mon Jul 08 23:27:05 GMT 2024","Mon Jul 08 23:27:08 GMT 2024","3051","","","","","","@UI Locator",""
"passed","Mon Jul 08 23:27:04 GMT 2024","Mon Jul 08 23:27:05 GMT 2024","1143","","","","","","get started link",""
